epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,7935.59,1.36111,1.04524,1.05625,0.50768,0.42445,0.43081,0.25929,1.31731,1.00375,1.05034,0.006007,0.006007,0.006007
123,8000.13,1.36813,1.04753,1.05787,0.5133,0.41837,0.43031,0.25912,1.31747,1.00379,1.05006,0.005974,0.005974,0.005974
124,8065.11,1.35713,1.04033,1.05268,0.51173,0.42152,0.43091,0.2595,1.31726,1.00363,1.04989,0.005941,0.005941,0.005941
125,8129.82,1.35731,1.04217,1.0561,0.50931,0.42295,0.43092,0.25956,1.31719,1.00313,1.04965,0.005908,0.005908,0.005908
126,8194.72,1.35862,1.04203,1.05486,0.51179,0.42073,0.43119,0.25961,1.31655,1.00254,1.04928,0.005875,0.005875,0.005875
127,8259.6,1.35507,1.03784,1.05043,0.51364,0.41989,0.43132,0.2597,1.31651,1.00235,1.04891,0.005842,0.005842,0.005842
128,8324.43,1.3588,1.03811,1.05316,0.51356,0.41996,0.4315,0.25996,1.31608,1.00179,1.0486,0.005809,0.005809,0.005809
129,8389.24,1.35204,1.03858,1.05259,0.51509,0.41905,0.43128,0.25989,1.31606,1.00106,1.04824,0.005776,0.005776,0.005776
130,8453.81,1.355,1.0371,1.04991,0.51385,0.41851,0.43144,0.26034,1.31546,1.00063,1.04773,0.005743,0.005743,0.005743
131,8519.1,1.3617,1.04005,1.04958,0.51639,0.41946,0.43213,0.26051,1.31547,1.00007,1.04741,0.00571,0.00571,0.00571
132,8583.86,1.35136,1.0336,1.04858,0.51726,0.41867,0.43254,0.26056,1.3151,1.00021,1.04718,0.005677,0.005677,0.005677
133,8648.55,1.35442,1.03923,1.04859,0.51737,0.4188,0.43251,0.26048,1.31516,0.99985,1.04688,0.005644,0.005644,0.005644
134,8713.34,1.35276,1.03692,1.0493,0.51391,0.42102,0.43258,0.26064,1.31495,0.9994,1.04666,0.005611,0.005611,0.005611
135,8778.32,1.34948,1.03592,1.04838,0.51696,0.42005,0.43272,0.26086,1.31487,0.99886,1.0465,0.005578,0.005578,0.005578
136,8842.63,1.34542,1.02857,1.04757,0.51889,0.41798,0.43263,0.26087,1.31441,0.99879,1.04607,0.005545,0.005545,0.005545
137,8907.7,1.35247,1.02945,1.0487,0.51484,0.42131,0.43325,0.26112,1.31425,0.99815,1.04591,0.005512,0.005512,0.005512
138,8972.4,1.35435,1.03604,1.04812,0.51643,0.42046,0.43341,0.26129,1.31427,0.99782,1.04577,0.005479,0.005479,0.005479
139,9036.93,1.35059,1.03331,1.04784,0.51383,0.42268,0.4342,0.26171,1.31418,0.99735,1.04555,0.005446,0.005446,0.005446
140,9101.66,1.35317,1.03457,1.04674,0.51365,0.42389,0.43409,0.26183,1.31387,0.99682,1.04525,0.005413,0.005413,0.005413
141,9166.49,1.34132,1.02585,1.04591,0.51514,0.42448,0.43484,0.26251,1.31367,0.99651,1.04503,0.00538,0.00538,0.00538
142,9231.41,1.35081,1.02762,1.04197,0.50639,0.42915,0.4348,0.26254,1.31356,0.99647,1.04484,0.005347,0.005347,0.005347
143,9295.68,1.35234,1.0317,1.04652,0.50834,0.42799,0.43495,0.26286,1.31325,0.99603,1.04457,0.005314,0.005314,0.005314
144,9360.6,1.34751,1.02729,1.04389,0.50704,0.42938,0.43498,0.26289,1.31275,0.99573,1.04431,0.005281,0.005281,0.005281
145,9425.69,1.34993,1.02258,1.04371,0.50947,0.42871,0.43559,0.26317,1.31292,0.99549,1.04413,0.005248,0.005248,0.005248
146,9490.21,1.34286,1.0196,1.04446,0.50978,0.42867,0.43587,0.2633,1.31296,0.99553,1.044,0.005215,0.005215,0.005215
147,9554.81,1.34179,1.02416,1.04569,0.50953,0.42847,0.43617,0.26358,1.31282,0.99502,1.04373,0.005182,0.005182,0.005182
148,9619.55,1.34614,1.02394,1.04172,0.51017,0.42855,0.43637,0.2637,1.31264,0.99491,1.04354,0.005149,0.005149,0.005149
149,9684,1.34144,1.01894,1.04115,0.5096,0.42947,0.43641,0.26352,1.31228,0.99472,1.04328,0.005116,0.005116,0.005116
150,9748.5,1.34519,1.02245,1.04274,0.50969,0.42965,0.43664,0.26358,1.3122,0.99424,1.04305,0.005083,0.005083,0.005083
151,9813.48,1.34117,1.01967,1.04007,0.50862,0.42966,0.4366,0.26347,1.31197,0.9943,1.04274,0.00505,0.00505,0.00505
152,9878.28,1.34928,1.02449,1.04121,0.5089,0.42965,0.43648,0.26356,1.3117,0.99398,1.04247,0.005017,0.005017,0.005017
153,9942.72,1.34538,1.02334,1.03878,0.50844,0.43092,0.43681,0.26371,1.31162,0.99383,1.04229,0.004984,0.004984,0.004984
154,10007.8,1.34864,1.01738,1.04018,0.51007,0.43033,0.43709,0.26391,1.31158,0.9937,1.04209,0.004951,0.004951,0.004951
155,10072.2,1.341,1.02067,1.04056,0.51033,0.43006,0.4374,0.26411,1.31135,0.99324,1.04179,0.004918,0.004918,0.004918
